Name,ID,Latitude,Longitude,Elevation
Parsabad,40700,39.6064,47.8822,77.8
Maku,40701,39.3794,44.3916,1411.2
Khoy,40703,38.558,44.9952,1103.4
Ahar,40704,38.4333,47.0667,1391
Tabriz,40706,38.1222,46.2425,1361
Ardebil,40708,38.218,48.3286,1335.2
Sarab,40710,37.9333,47.5333,1682
Orumiyeh,40712,37.6586,45.0552,1328
Maragheh,40713,37.3475,46.1458,1344
Mianeh,40716,37.45,47.7,1110
Bandar Anzali,40718,37.4797,49.4575,-23.6
Rasht,40719,37.3167,49.6167,-8.6
Maravehtappeh,40721,37.8016,55.9433,460
Bojnurd,40723,37.4872,57.3033,1065
Mahabad,40726,36.7533,45.7152,1351.8
Saqez,40727,36.25,46.2667,1522.8
Zanjan,40729,36.6602,48.5216,1659.4
Qazvin,40731,36.2616,50.0613,1279.1
Ramsar,40732,36.9044,50.6833,-20
Nowshahr,40734,36.6613,51.4669,-20.9
Babolsar,40736,36.6986,52.6425,-21
Gharakhil,40737,36.4541,52.7716,14.7
Gorgan,40738,36.905,54.4136,0
Shahrud,40739,36.3805,54.9297,1325.2
Quchan,40740,37.1175,58.468,1287
Sarakhs,40741,36.5372,61.1488,278
Sabzevar,40743,36.2167,57.6667,962
Mashhad,40745,36.2363,59.6311,999.2
Sanandaj,40747,35.3333,47,1373.4
Tehran,40754,35.6933,51.3094,1191
Semnan,40757,35.5883,53.4213,1127
Torbat Heydariyeh,40762,35.3316,59.2058,1451
Kashmar,40763,35.2711,58.4733,1109.7
Kermanshah,40766,34.3522,47.1533,1318.5
Hamedan,40768,34.8694,48.5347,1740.8
Arak,40769,34.0719,49.7833,1702.8
Ilam,40780,33.5877,46.3977,1337
Khorramabad,40782,33.4388,48.2836,1147.8
Aligudarz,40783,33.408,49.7025,2022.1
Kashan,40785,33.9669,51.4808,955
Khur Va Biabanak,40789,33.77,55.0816,842.2
Tabas,40791,33.6036,56.9508,711
Ferdows,40792,34.0305,58.1841,1293
Safiabad Dezful,40794,32.2667,48.4167,82.9
Shahrekord,40798,32.2922,50.8394,2048.9
Esfahan,40800,32.5175,51.7061,1550.4
Birjand,40809,32.8905,59.2836,1491
Ahvaz,40811,31.3447,48.7441,22.5
Masjedsoleyman,40812,31.9833,49.2408,320.5
Abadeh,40818,31.1983,52.6163,2030
Yazd,40821,31.9038,54.2897,1230.2
Nehbandan,40827,31.5419,60.0347,1188
Zabol,40829,31.0886,61.543,489.2
Abadan,40831,30.3772,48.2147,6.6
Omidiyeh Aghajari,40833,30.7425,49.6877,27
Dogonbadan,40835,30.3461,50.8191,726
Yasuj,40836,30.6986,51.555,1816.3
Kerman,40841,30.25,56.9667,1748
Shiraz,40848,29.5613,52.6025,1488
Sirjan,40851,29.4666,55.6833,1739.4
Baft,40853,29.2333,56.5833,2280
Bam,40854,29.0802,58.3522,1067
Zahedan,40856,29.4722,60.9002,1370
Bushehr,40858,28.963,50.8191,9
Fasa,40859,28.8994,53.7194,1268
Bandar Dayyer,40872,27.8333,51.9333,4
Bandarabbas,40875,27.2147,56.3727,9.8
Kahnuj,40877,27.9941,57.7113,499
Saravan,40878,27.3902,62.3188,1182
Iranshahr,40879,27.2294,60.7183,591.1
Kish Island,40882,26.5222,53.9822,30
Bandar Lengeh,40883,26.5283,54.8283,22.7
Siri Island,40889,25.8977,54.5511,4.4
Abumusa Island,40890,25.8741,55.0133,6.6
Jask,40893,25.6377,57.7697,5.2
Konarak,40897,25.4363,60.3747,30
Chahbahar,40898,25.2811,60.6511,8
